247	164	2.0
247	164	2.0
245	166	2.509117
237	178	4.595997
227	199	6.186693
220	224	6.673072
213	251	7.0206766
212	274	6.143911
212	289	4.7
212	289	2.0
219	303	4.8174458
219	303	2.0
223	307	3.0182338
228	309	2.9693298
242	305	4.6208396
262	295	6.0249224
262	295	2.0
290	282	7.556726
330	265	9.823273
378	250	11.05205
426	238	10.905909
474	229	10.790563
525	221	11.292254
568	220	9.742092
592	221	6.323748
603	224	4.0523157
612	229	3.8532133
630	240	5.797104
648	255	6.217535
666	275	6.8433046
673	287	4.50064
677	300	4.448265
677	311	3.98
676	325	4.5264206
674	338	4.3675303
669	353	4.84605
662	368	4.9795303
653	385	5.462369
642	398	5.0652895
621	414	6.752136
603	426	5.893996
581	439	6.5996957
493	454	18.068466
454	458	9.056826
454	458	2.0
417	458	8.66
389	449	7.293959
366	436	6.755544
336	409	9.264957
336	409	2.0
327	389	5.9477086
327	389	2.0
327	386	2.54
327	385	2.18
330	383	2.6489992
337	380	3.370839
354	375	5.189608
391	365	8.898957
442	355	11.354806
496	343	11.9571085
535	337	9.102591
570	325	8.66
597	308	7.7431
608	296	4.930187
620	285	4.930187
631	270	5.3481936
637	256	4.741678
645	235	6.0449967
648	220	4.7534704
647	205	4.7059937
641	186	5.5864744
632	167	5.7842836
619	151	5.7107954
603	136	5.9477086
584	124	6.0449967
565	116	5.7107954
548	110	5.244996
535	107	4.4014997
519	106	4.885619
505	106	4.52
491	111	4.6758924
482	115	3.7727942
482	115	2.0
456	129	7.315336
437	136	5.644722
437	136	2.0
404	144	8.112053
404	144	2.0
394	146	3.835647
388	147	3.0948973
385	147	2.54
382	147	2.54
381	147	2.18
381	147	2.0
381	147	2.0
381	147	2.0
381	147	2.0
381	147	2.0
381	147	2.0
