year	Week	Precipitation	MinTemp
1989	19	0.542857143	8.114285714
1989	20	1.942857143	8.985714286
1989	21	1.228571429	3.142857143
1989	22	1.542857143	4.771428571
1989	23	1	4.242857143
1989	24	0.342857143	3.642857143
1989	25	2.2	3.342857143
1989	26	0.028571429	0.271428571
1989	27	0.114285714	1.928571429
1989	28	1.828571429	1.171428571
1989	29	0.257142857	-2.828571429
1989	30	3.457142857	2.928571429
1989	31	1.057142857	-0.085714286
1989	32	0.171428571	1.057142857
1989	33	0.028571429	0.128571429
1989	34	0.685714286	2.414285714
1989	35	1.685714286	2.228571429
1989	36	0	1.185714286
1989	37	0.6	2.071428571
1989	38	1.114285714	1.542857143
1989	39	0.228571429	0.314285714
1989	40	0	1.757142857
1989	41	0.114285714	6.042857143
1989	42	0.914285714	5.928571429
1989	43	3.171428571	7.671428571
1989	44	0.314285714	5.157142857
1989	45	13.88571429	9.614285714
1989	46	1.628571429	10.58571429
1989	47	3.771428571	10.77142857
1989	48	0.485714286	12.08571429
1989	49	2.914285714	11.55714286
1989	50	3.542857143	11.32857143
1989	51	0	11.38571429
1989	52	0.085714286	11.94285714
1990	1	0.028571429	13.84285714
1990	2	4.971428571	14.8
1990	3	0	12.37142857
1990	4	0	13.21428571
1990	5	5.285714286	13.62857143
1990	6	1.628571429	12.94285714
1990	7	3.657142857	12.62857143
1990	8	0.971428571	15.44285714
1990	9	0.628571429	13.04285714
1990	10	0.142857143	10.28571429
1990	11	0.057142857	10.37142857
1990	12	0.057142857	8.8
1990	13	0	11.5
1990	14	1.285714286	12.34285714
1990	15	11.28571429	13.08571429
1990	16	6.771428571	10.81428571
1990	17	0.257142857	7.328571429
1990	18	0.057142857	5.5
1990	19	0	6.042857143
1990	20	1.514285714	2.6
1990	21	6.485714286	4.742857143
1990	22	3.828571429	5.871428571
1990	23	0	1.642857143
1990	24	0.142857143	0.457142857
1990	25	0.028571429	-0.671428571
1990	26	2.4	2.428571429
1990	27	3.942857143	3.028571429
1990	28	0.457142857	0.914285714
1990	29	2.828571429	2.585714286
1990	30	0.6	0.457142857
1990	31	3.685714286	3.957142857
1990	32	1.057142857	3.028571429
1990	33	0.657142857	0.628571429
1990	34	0.857142857	1.342857143
1990	35	0.971428571	2.257142857
1990	36	0.514285714	1.9
1990	37	2.514285714	3.042857143
1990	38	0.571428571	3.014285714
1990	39	0.085714286	5.014285714
1990	40	0.914285714	3.657142857
1990	41	2.857142857	4.871428571
1990	42	3.171428571	5.171428571
1990	43	1.4	4.871428571
1990	44	0	9.228571429
1990	45	2.771428571	9.285714286
1990	46	0.542857143	8.014285714
1990	47	0	7.142857143
1990	48	0	10.5
1990	49	4.2	14.92857143
1990	50	1.971428571	8.414285714
1990	51	0.114285714	13.64285714
1990	52	0	12.75714286
1991	1	5.571428571	15.34285714
1991	2	0.2	15.88571429
1991	3	0	15.12857143
1991	4	5.971428571	14.78571429
1991	5	0	12.41428571
1991	6	1.942857143	16.41428571
1991	7	0.514285714	13.91428571
1991	8	0.285714286	14.34285714
1991	9	0	10.32857143
1991	10	0.028571429	13.71428571
1991	11	0.171428571	9.928571429
1991	12	0	9.514285714
1991	13	2.085714286	10.42857143
1991	14	0.285714286	6.371428571
1991	15	0.514285714	7.114285714
1991	16	0	4.4
1991	17	1.514285714	4.142857143
1991	18	0	1.785714286
1991	19	0.428571429	2.257142857
1991	20	0	2.885714286
1991	21	4.171428571	4.857142857
1991	22	0	3.714285714
1991	23	6.028571429	7.071428571
1991	24	6.542857143	7.871428571
1991	25	0.285714286	3.357142857
1991	26	1.028571429	3.614285714
1991	27	1	1.342857143
1991	28	14.17142857	2.814285714
1991	29	0.028571429	0.085714286
1991	30	0.2	-0.128571429
1991	31	0.771428571	2.142857143
1991	32	4.057142857	2.728571429
1991	33	0.257142857	0.814285714
1991	34	1.742857143	1.6
1991	35	3.257142857	1.2
1991	36	0.028571429	2.442857143
1991	37	3.428571429	2.428571429
1991	38	2.257142857	3.8
1991	39	2.514285714	5.671428571
1991	40	0.314285714	6.657142857
1991	41	0	5.8
1991	42	0	5.385714286
1991	43	2.085714286	7.871428571
1991	44	2.371428571	9.842857143
1991	45	0.142857143	6.314285714
1991	46	0	7.128571429
1991	47	0.114285714	9.3
1991	48	1.142857143	9.6
1991	49	0.114285714	9.8
1991	50	7.142857143	12.15714286
1991	51	0.628571429	8.871428571
1991	52	0.114285714	14.27142857
1992	1	5.457142857	12.24285714
1992	2	4.857142857	11.22857143
1992	3	0	12.78571429
1992	4	6.114285714	13.95714286
1992	5	0.885714286	13.74285714
1992	6	8.628571429	14.8
1992	7	0.085714286	12.1
1992	8	0.828571429	14.11428571
1992	9	0	11.15714286
1992	10	7.657142857	13.55714286
1992	11	0	11.62857143
1992	12	0	9.257142857
1992	13	0.114285714	11.8
1992	14	0.028571429	10.94285714
1992	15	1.285714286	6.328571429
1992	16	0.114285714	7.142857143
1992	17	1.942857143	4
1992	18	1.457142857	4.785714286
1992	19	0.371428571	6.971428571
1992	20	0.914285714	3.314285714
1992	21	3.971428571	1.257142857
1992	22	0.057142857	1.671428571
1992	23	0.885714286	-1.871428571
1992	24	0.085714286	0.685714286
1992	25	0.114285714	-1.257142857
1992	26	2.285714286	2.285714286
1992	27	0.685714286	4.057142857
1992	28	0.028571429	-2.114285714
1992	29	1.685714286	-0.528571429
1992	30	0	-2.928571429
1992	31	0	-0.514285714
1992	32	5.4	0.442857143
1992	33	1.314285714	2.685714286
1992	34	0.114285714	-1.228571429
1992	35	4.085714286	0.885714286
1992	36	1	2.728571429
1992	37	1.257142857	1.014285714
1992	38	0.342857143	2.285714286
1992	39	6	6.057142857
1992	40	2.742857143	5.142857143
1992	41	1.914285714	7
1992	42	5.314285714	7.428571429
1992	43	0.142857143	5.285714286
1992	44	4.085714286	9.042857143
1992	45	1.571428571	5.728571429
1992	46	1.542857143	7.057142857
1992	47	8.485714286	11.41428571
1992	48	2.142857143	5.985714286
1992	49	5.428571429	12.1
1992	50	0.771428571	10.45714286
1992	51	0.714285714	13.22857143
1992	52	5.2	12.98571429
1993	1	10.88571429	13.34285714
1993	2	0	13.45714286
1993	3	2.285714286	16.14285714
1993	4	5.828571429	15.44285714
1993	5	0	15.74285714
1993	6	1.485714286	14.97142857
1993	7	0.857142857	12.8
1993	8	2.285714286	9.428571429
1993	9	0.457142857	8.214285714
1993	10	7.257142857	11.45714286
1993	11	0.057142857	10.72857143
1993	12	4.514285714	9.871428571
1993	13	2.114285714	9.171428571
1993	14	3.028571429	6.728571429
1993	15	0.171428571	6.357142857
1993	16	0	6.557142857
1993	17	0	6.357142857
1993	18	0.057142857	3.557142857
1993	19	0.028571429	2.928571429
1993	20	0	-1.271428571
1993	21	0.628571429	1.157142857
1993	22	4.085714286	1.985714286
1993	23	0.114285714	-1.657142857
1993	24	1.4	-0.657142857
1993	25	0.142857143	3.114285714
1993	26	0.028571429	-3.1
1993	27	7	4.771428571
1993	28	0.171428571	2.2
